,metric,pearson,p_pearson,spearman,p_spearman,kendall,p_kendall
0,acc,1.0,0.0,1.0,0.0,1.0,0.0004
1,background_recall,0.762,0.0465,0.8571,0.0137,0.7143,0.0302
3,bleu4,-0.6373,0.1237,-0.7857,0.0362,-0.619,0.069
4,bleu1,-0.9167,0.0037,-0.8214,0.0234,-0.7143,0.0302
5,meteor,-0.9084,0.0046,-0.9286,0.0025,-0.8095,0.0107
6,rouge1,-0.9392,0.0017,-0.8214,0.0234,-0.7143,0.0302
7,rouge2,-0.8508,0.0152,-0.9286,0.0025,-0.8095,0.0107
8,rougeL,-0.9329,0.0022,-0.7857,0.0362,-0.619,0.069
9,rougeLsum,-0.9329,0.0022,-0.7857,0.0362,-0.619,0.069
10,bertscore_f1,-0.9026,0.0054,-0.9286,0.0025,-0.8095,0.0107
