,metric,pearson,p_pearson,spearman,p_spearman,kendall,p_kendall
0,acc,1.0,0.0,1.0,0.0,1.0,0.0004
1,background_recall,0.6435,0.1189,0.7143,0.0713,0.619,0.069
2,ques_recall,0.1054,0.8221,0.2143,0.6445,0.1429,0.7726
3,bleu4,-0.5074,0.2451,-0.4286,0.3374,-0.3333,0.3813
4,bleu1,-0.9294,0.0024,-0.8571,0.0137,-0.7143,0.0302
5,meteor,-0.9169,0.0037,-1.0,0.0,-1.0,0.0004
6,rouge1,-0.9374,0.0018,-0.8929,0.0068,-0.8095,0.0107
7,rouge2,-0.8123,0.0264,-0.8929,0.0068,-0.7143,0.0302
8,rougeL,-0.8695,0.011,-0.8571,0.0137,-0.7143,0.0302
9,rougeLsum,-0.8695,0.011,-0.8571,0.0137,-0.7143,0.0302
10,bertscore_f1,-0.9212,0.0032,-0.8929,0.0068,-0.8095,0.0107
