,metric,pearson,p_pearson,spearman,p_spearman,kendall,p_kendall
0,acc,1.0,0.0,1.0,0.0,1.0,0.0004
1,background_recall,0.8019,0.0301,0.9286,0.0025,0.8095,0.0107
2,ques_recall,0.6707,0.0991,0.7143,0.0713,0.5238,0.1361
3,bleu4,-0.1804,0.6988,-0.1786,0.7017,-0.1429,0.7726
4,bleu1,-0.7274,0.0639,-0.6429,0.1194,-0.4286,0.2389
5,meteor,-0.5614,0.1897,-0.75,0.0522,-0.5238,0.1361
6,rouge1,-0.7185,0.0689,-0.6786,0.0938,-0.5238,0.1361
7,rouge2,-0.4742,0.2824,-0.75,0.0522,-0.5238,0.1361
8,rougeL,-0.6697,0.0998,-0.6429,0.1194,-0.4286,0.2389
9,rougeLsum,-0.6697,0.0998,-0.6429,0.1194,-0.4286,0.2389
10,bertscore_f1,-0.7974,0.0317,-0.8571,0.0137,-0.7143,0.0302
