,metric,pearson,p_pearson,spearman,p_spearman,kendall,p_kendall,benchmark
8,acc,1.0,0.0,1.0,0.0,1.0,0.0004,MedExpQA
9,background_recall,0.8825,0.0085,0.9286,0.0025,0.8095,0.0107,MedExpQA
10,bleu1,-0.839,0.0183,-0.7143,0.0713,-0.619,0.069,MedExpQA
11,rouge1,-0.8638,0.0122,-0.8571,0.0137,-0.7143,0.0302,MedExpQA
12,bertscore_f1,-0.9113,0.0043,-0.8929,0.0068,-0.8095,0.0107,MedExpQA
0,acc,1.0,0.0,1.0,0.0,1.0,0.0004,MedQA
1,background_recall,0.8198,0.024,0.8571,0.0137,0.7143,0.0302,MedQA
5,rougeL,-0.8711,0.0107,-0.8214,0.0234,-0.619,0.069,MedQA
6,rougeLsum,-0.8657,0.0118,-0.8214,0.0234,-0.619,0.069,MedQA
2,bleu1,-0.8858,0.0079,-0.8571,0.0137,-0.7143,0.0302,MedQA
3,meteor,-0.7769,0.0399,-0.8571,0.0137,-0.7143,0.0302,MedQA
4,rouge1,-0.8971,0.0062,-0.8929,0.0068,-0.8095,0.0107,MedQA
7,bertscore_f1,-0.9021,0.0055,-0.8929,0.0068,-0.8095,0.0107,MedQA
13,acc,1.0,0.0,1.0,0.0,1.0,0.0004,USMLE_STEP_1
14,background_recall,0.762,0.0465,0.8571,0.0137,0.7143,0.0302,USMLE_STEP_1
15,bleu4,-0.6373,0.1237,-0.7857,0.0362,-0.619,0.069,USMLE_STEP_1
20,rougeL,-0.9329,0.0022,-0.7857,0.0362,-0.619,0.069,USMLE_STEP_1
21,rougeLsum,-0.9329,0.0022,-0.7857,0.0362,-0.619,0.069,USMLE_STEP_1
16,bleu1,-0.9167,0.0037,-0.8214,0.0234,-0.7143,0.0302,USMLE_STEP_1
18,rouge1,-0.9392,0.0017,-0.8214,0.0234,-0.7143,0.0302,USMLE_STEP_1
17,meteor,-0.9084,0.0046,-0.9286,0.0025,-0.8095,0.0107,USMLE_STEP_1
19,rouge2,-0.8508,0.0152,-0.9286,0.0025,-0.8095,0.0107,USMLE_STEP_1
22,bertscore_f1,-0.9026,0.0054,-0.9286,0.0025,-0.8095,0.0107,USMLE_STEP_1
23,acc,1.0,0.0,1.0,0.0,1.0,0.0004,USMLE_STEP_2
24,bleu1,-0.9294,0.0024,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_2
28,rougeL,-0.8695,0.011,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_2
29,rougeLsum,-0.8695,0.011,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_2
26,rouge1,-0.9374,0.0018,-0.8929,0.0068,-0.8095,0.0107,USMLE_STEP_2
27,rouge2,-0.8123,0.0264,-0.8929,0.0068,-0.7143,0.0302,USMLE_STEP_2
30,bertscore_f1,-0.9212,0.0032,-0.8929,0.0068,-0.8095,0.0107,USMLE_STEP_2
25,meteor,-0.9169,0.0037,-1.0,0.0,-1.0,0.0004,USMLE_STEP_2
31,acc,1.0,0.0,1.0,0.0,1.0,0.0004,USMLE_STEP_3
32,background_recall,0.8019,0.0301,0.9286,0.0025,0.8095,0.0107,USMLE_STEP_3
33,bertscore_f1,-0.7974,0.0317,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_3
