,metric,pearson,p_pearson,spearman,p_spearman,kendall,p_kendall,benchmark
11,acc,1.0,0.0,1.0,0.0,1.0,0.0004,MedExpQA
12,background_recall,0.8825,0.0085,0.9286,0.0025,0.8095,0.0107,MedExpQA
13,ques_recall,0.6892,0.0867,0.5357,0.2152,0.4286,0.2389,MedExpQA
14,bleu4,0.0552,0.9065,-0.25,0.5887,-0.1429,0.7726,MedExpQA
18,rouge2,-0.3228,0.4801,-0.3929,0.3833,-0.3333,0.3813,MedExpQA
16,meteor,-0.6663,0.1022,-0.6429,0.1194,-0.5238,0.1361,MedExpQA
19,rougeL,-0.7543,0.0501,-0.6429,0.1194,-0.5238,0.1361,MedExpQA
20,rougeLsum,-0.7543,0.0501,-0.6429,0.1194,-0.5238,0.1361,MedExpQA
15,bleu1,-0.839,0.0183,-0.7143,0.0713,-0.619,0.069,MedExpQA
17,rouge1,-0.8638,0.0122,-0.8571,0.0137,-0.7143,0.0302,MedExpQA
21,bertscore_f1,-0.9113,0.0043,-0.8929,0.0068,-0.8095,0.0107,MedExpQA
0,acc,1.0,0.0,1.0,0.0,1.0,0.0004,MedQA
1,background_recall,0.8198,0.024,0.8571,0.0137,0.7143,0.0302,MedQA
2,ques_recall,0.6863,0.0886,0.6429,0.1194,0.4286,0.2389,MedQA
3,bleu4,0.0878,0.8515,0.4643,0.2939,0.3333,0.3813,MedQA
7,rouge2,-0.3337,0.4645,-0.2857,0.5345,-0.2381,0.5619,MedQA
8,rougeL,-0.8711,0.0107,-0.8214,0.0234,-0.619,0.069,MedQA
9,rougeLsum,-0.8657,0.0118,-0.8214,0.0234,-0.619,0.069,MedQA
4,bleu1,-0.8858,0.0079,-0.8571,0.0137,-0.7143,0.0302,MedQA
5,meteor,-0.7769,0.0399,-0.8571,0.0137,-0.7143,0.0302,MedQA
6,rouge1,-0.8971,0.0062,-0.8929,0.0068,-0.8095,0.0107,MedQA
10,bertscore_f1,-0.9021,0.0055,-0.8929,0.0068,-0.8095,0.0107,MedQA
22,acc,1.0,0.0,1.0,0.0,1.0,0.0004,USMLE_STEP_1
23,background_recall,0.762,0.0465,0.8571,0.0137,0.7143,0.0302,USMLE_STEP_1
24,ques_recall,0.5838,0.1688,0.6429,0.1194,0.5238,0.1361,USMLE_STEP_1
25,bleu4,-0.6373,0.1237,-0.7857,0.0362,-0.619,0.069,USMLE_STEP_1
30,rougeL,-0.9329,0.0022,-0.7857,0.0362,-0.619,0.069,USMLE_STEP_1
31,rougeLsum,-0.9329,0.0022,-0.7857,0.0362,-0.619,0.069,USMLE_STEP_1
26,bleu1,-0.9167,0.0037,-0.8214,0.0234,-0.7143,0.0302,USMLE_STEP_1
28,rouge1,-0.9392,0.0017,-0.8214,0.0234,-0.7143,0.0302,USMLE_STEP_1
27,meteor,-0.9084,0.0046,-0.9286,0.0025,-0.8095,0.0107,USMLE_STEP_1
29,rouge2,-0.8508,0.0152,-0.9286,0.0025,-0.8095,0.0107,USMLE_STEP_1
32,bertscore_f1,-0.9026,0.0054,-0.9286,0.0025,-0.8095,0.0107,USMLE_STEP_1
33,acc,1.0,0.0,1.0,0.0,1.0,0.0004,USMLE_STEP_2
34,background_recall,0.6435,0.1189,0.7143,0.0713,0.619,0.069,USMLE_STEP_2
35,ques_recall,0.1054,0.8221,0.2143,0.6445,0.1429,0.7726,USMLE_STEP_2
36,bleu4,-0.5074,0.2451,-0.4286,0.3374,-0.3333,0.3813,USMLE_STEP_2
37,bleu1,-0.9294,0.0024,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_2
41,rougeL,-0.8695,0.011,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_2
42,rougeLsum,-0.8695,0.011,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_2
39,rouge1,-0.9374,0.0018,-0.8929,0.0068,-0.8095,0.0107,USMLE_STEP_2
40,rouge2,-0.8123,0.0264,-0.8929,0.0068,-0.7143,0.0302,USMLE_STEP_2
43,bertscore_f1,-0.9212,0.0032,-0.8929,0.0068,-0.8095,0.0107,USMLE_STEP_2
38,meteor,-0.9169,0.0037,-1.0,0.0,-1.0,0.0004,USMLE_STEP_2
44,acc,1.0,0.0,1.0,0.0,1.0,0.0004,USMLE_STEP_3
45,background_recall,0.8019,0.0301,0.9286,0.0025,0.8095,0.0107,USMLE_STEP_3
46,ques_recall,0.6707,0.0991,0.7143,0.0713,0.5238,0.1361,USMLE_STEP_3
47,bleu4,-0.1804,0.6988,-0.1786,0.7017,-0.1429,0.7726,USMLE_STEP_3
48,bleu1,-0.7274,0.0639,-0.6429,0.1194,-0.4286,0.2389,USMLE_STEP_3
52,rougeL,-0.6697,0.0998,-0.6429,0.1194,-0.4286,0.2389,USMLE_STEP_3
53,rougeLsum,-0.6697,0.0998,-0.6429,0.1194,-0.4286,0.2389,USMLE_STEP_3
50,rouge1,-0.7185,0.0689,-0.6786,0.0938,-0.5238,0.1361,USMLE_STEP_3
49,meteor,-0.5614,0.1897,-0.75,0.0522,-0.5238,0.1361,USMLE_STEP_3
51,rouge2,-0.4742,0.2824,-0.75,0.0522,-0.5238,0.1361,USMLE_STEP_3
54,bertscore_f1,-0.7974,0.0317,-0.8571,0.0137,-0.7143,0.0302,USMLE_STEP_3
