emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.6,0.0,0.9031,0.9643,0.9048,0.2024,0.2143,0.1429,0.0415,0.0094,0.102,0.145,0.105,0.025,0.022,0.019,0.0053,0.0005,0.0028,0.6634,0.6445,0.7726,0.2202,0.7818,0.002,0.0,0.0,0.468,0.516,0.516
0.6,0.1,0.8797,0.9286,0.8095,0.7096,0.75,0.619,0.0978,0.0263,0.184,0.19,0.139,0.065,0.075,0.06,0.009,0.0025,0.0107,0.0741,0.0522,0.069,0.0038,0.4379,0.0,0.0,0.0,0.056,0.027,0.027
0.6,0.2,0.9032,0.9286,0.8095,0.6957,0.7143,0.5238,0.1013,0.0382,0.189,0.198,0.145,0.066,0.08,0.064,0.0053,0.0025,0.0107,0.0826,0.0713,0.1361,0.0027,0.2585,0.0,0.0,0.0,0.051,0.018,0.018
0.6,0.3,0.8839,0.9286,0.8095,0.7309,0.6429,0.619,0.0961,0.0248,0.183,0.189,0.138,0.058,0.082,0.064,0.0083,0.0025,0.0107,0.062,0.1194,0.069,0.0044,0.4633,0.0,0.0,0.0,0.085,0.015,0.016
0.6,0.4,0.892,0.9286,0.8095,0.5631,0.6071,0.5238,0.0779,0.0338,0.183,0.176,0.128,0.039,0.063,0.049,0.0069,0.0025,0.0107,0.1881,0.1482,0.1361,0.0211,0.3173,0.0,0.0,0.0,0.244,0.062,0.066
0.6,0.5,0.897,0.9286,0.8095,0.5124,0.5357,0.4286,0.0782,0.0108,0.188,0.182,0.132,0.037,0.049,0.038,0.0062,0.0025,0.0107,0.2397,0.2152,0.2389,0.0207,0.7498,0.0,0.0,0.0,0.276,0.146,0.153
0.6,0.6,0.8764,0.9286,0.8095,0.5975,0.6071,0.5238,0.0987,0.0162,0.169,0.154,0.113,0.047,0.078,0.063,0.0096,0.0025,0.0107,0.1565,0.1482,0.1361,0.0035,0.6321,0.0,0.0,0.0,0.163,0.021,0.022
0.6,0.7,0.8463,0.8571,0.7143,0.6724,0.5357,0.4286,0.0971,0.0379,0.175,0.162,0.118,0.04,0.07,0.057,0.0163,0.0137,0.0302,0.0979,0.2152,0.2389,0.004,0.2631,0.0,0.0,0.0,0.242,0.037,0.039
0.65,0.0,0.8149,0.9286,0.8095,0.6378,0.6429,0.4286,0.0624,0.0018,0.146,0.148,0.108,0.067,0.076,0.063,0.0256,0.0025,0.0107,0.1233,0.1194,0.2389,0.0652,0.9568,0.0,0.0,0.0,0.046,0.024,0.025
0.65,0.1,0.862,0.9286,0.8095,0.7042,0.6071,0.5238,0.0986,0.0209,0.189,0.186,0.135,0.065,0.079,0.063,0.0126,0.0025,0.0107,0.0773,0.1482,0.1361,0.0035,0.5374,0.0,0.0,0.0,0.056,0.019,0.019
0.65,0.2,0.8924,0.9286,0.8095,0.7125,0.6071,0.5238,0.1037,0.034,0.195,0.197,0.144,0.07,0.086,0.068,0.0069,0.0025,0.0107,0.0724,0.1482,0.1361,0.0021,0.3153,0.0,0.0,0.0,0.04,0.011,0.011
0.65,0.3,0.8929,0.9286,0.8095,0.7278,0.6429,0.619,0.0988,0.0205,0.188,0.192,0.14,0.058,0.083,0.065,0.0068,0.0025,0.0107,0.0637,0.1194,0.069,0.0035,0.5444,0.0,0.0,0.0,0.087,0.014,0.015
0.65,0.4,0.8926,0.9286,0.8095,0.553,0.5357,0.4286,0.0796,0.0329,0.184,0.177,0.129,0.039,0.062,0.049,0.0068,0.0025,0.0107,0.1979,0.2152,0.2389,0.0185,0.3309,0.0,0.0,0.0,0.249,0.066,0.069
0.65,0.5,0.8974,0.9286,0.8095,0.5008,0.5357,0.4286,0.0798,0.0098,0.19,0.182,0.133,0.036,0.048,0.038,0.0061,0.0025,0.0107,0.2523,0.2152,0.2389,0.0182,0.7711,0.0,0.0,0.0,0.281,0.153,0.16
0.65,0.6,0.8764,0.9286,0.8095,0.5975,0.6071,0.5238,0.0987,0.0162,0.169,0.154,0.113,0.047,0.078,0.063,0.0096,0.0025,0.0107,0.1565,0.1482,0.1361,0.0035,0.6321,0.0,0.0,0.0,0.163,0.021,0.022
