emb_t,tok_t,background_recall_corr1_pearson,background_recall_corr1_spearman,background_recall_corr1_kendall,ques_recall_corr1_pearson,ques_recall_corr1_spearman,ques_recall_corr1_kendall,background_recall_corr2_pb,ques_recall_corr2_pb,background_recall_corr3_pearson,background_recall_corr3_spearman,background_recall_corr3_kendall,ques_recall_corr3_pearson,ques_recall_corr3_spearman,ques_recall_corr3_kendall,background_recall_corr1_p_pearson,background_recall_corr1_p_spearman,background_recall_corr1_p_kendall,ques_recall_corr1_p_pearson,ques_recall_corr1_p_spearman,ques_recall_corr1_p_kendall,background_recall_corr2_p_pb,ques_recall_corr2_p_pb,background_recall_corr3_p_pearson,background_recall_corr3_p_spearman,background_recall_corr3_p_kendall,ques_recall_corr3_p_pearson,ques_recall_corr3_p_spearman,ques_recall_corr3_p_kendall
0.6,0.0,0.7345,0.6429,0.4286,0.5343,0.2857,0.0476,0.0202,0.0364,0.072,0.057,0.041,0.035,0.034,0.028,0.0601,0.1194,0.2389,0.2167,0.5345,1.0,0.6063,0.3515,0.067,0.146,0.144,0.374,0.39,0.398
0.6,0.1,0.7638,0.7143,0.619,0.7478,0.5714,0.4286,0.0217,-0.0411,0.124,0.129,0.094,0.089,0.082,0.065,0.0456,0.0713,0.069,0.0533,0.1802,0.2389,0.5788,0.2931,0.001,0.001,0.001,0.022,0.037,0.035
0.6,0.2,0.7886,0.8571,0.7143,0.7554,0.5714,0.4286,0.0256,-0.0495,0.127,0.135,0.099,0.07,0.073,0.058,0.0351,0.0137,0.0302,0.0496,0.1802,0.2389,0.5123,0.2059,0.001,0.001,0.0,0.072,0.061,0.059
0.6,0.3,0.7727,0.8571,0.7143,0.6474,0.6429,0.5238,0.0116,-0.0001,0.136,0.138,0.101,0.082,0.091,0.071,0.0417,0.0137,0.0302,0.116,0.1194,0.1361,0.767,0.9986,0.0,0.0,0.0,0.036,0.019,0.018
0.6,0.4,0.6601,0.7857,0.619,0.6365,0.7143,0.619,0.0005,0.0023,0.124,0.116,0.084,0.097,0.097,0.075,0.1066,0.0362,0.069,0.1243,0.0713,0.069,0.9903,0.9523,0.001,0.003,0.003,0.013,0.013,0.011
0.6,0.5,0.5955,0.6786,0.5238,0.5471,0.5,0.3333,-0.0014,-0.0186,0.121,0.104,0.075,0.086,0.085,0.066,0.1583,0.0938,0.1361,0.2037,0.2532,0.3813,0.9723,0.6339,0.002,0.008,0.008,0.027,0.03,0.027
0.6,0.6,0.5122,0.5357,0.4286,0.5277,0.4643,0.3333,-0.0044,-0.0234,0.101,0.093,0.069,0.095,0.105,0.08,0.2398,0.2152,0.2389,0.2235,0.2939,0.3813,0.9102,0.5496,0.01,0.017,0.015,0.015,0.007,0.007
0.6,0.7,0.5309,0.5357,0.4286,0.5558,0.4643,0.3333,0.0103,0.0006,0.096,0.092,0.068,0.087,0.106,0.082,0.2202,0.2152,0.2389,0.1951,0.2939,0.3813,0.7918,0.9883,0.014,0.018,0.017,0.027,0.007,0.007
0.65,0.0,0.6842,0.6786,0.5238,0.2378,0.1071,-0.0476,-0.0176,-0.0095,0.057,0.05,0.036,-0.017,-0.011,-0.01,0.09,0.0938,0.1361,0.6076,0.8192,1.0,0.6518,0.8079,0.144,0.2,0.204,0.664,0.771,0.763
0.65,0.1,0.7491,0.8571,0.7143,0.7676,0.6071,0.5238,0.0052,-0.0189,0.117,0.12,0.088,0.081,0.076,0.06,0.0526,0.0137,0.0302,0.0439,0.1482,0.1361,0.8937,0.6295,0.003,0.002,0.002,0.038,0.052,0.05
0.65,0.2,0.763,0.8571,0.7143,0.797,0.6071,0.5238,0.0038,-0.031,0.119,0.125,0.091,0.066,0.069,0.054,0.046,0.0137,0.0302,0.0319,0.1482,0.1361,0.9223,0.4283,0.002,0.001,0.001,0.09,0.076,0.074
0.65,0.3,0.7425,0.8571,0.7143,0.605,0.6429,0.5238,0.0052,-0.0079,0.128,0.123,0.089,0.08,0.089,0.069,0.0559,0.0137,0.0302,0.1501,0.1194,0.1361,0.8941,0.8403,0.001,0.002,0.002,0.041,0.022,0.021
0.65,0.4,0.6298,0.6786,0.5238,0.6574,0.7143,0.619,0.0037,0.0021,0.122,0.113,0.082,0.098,0.1,0.077,0.1296,0.0938,0.1361,0.1085,0.0713,0.069,0.9243,0.9564,0.002,0.004,0.004,0.012,0.011,0.009
0.65,0.5,0.5705,0.5357,0.4286,0.5691,0.5,0.3333,0.0013,-0.0188,0.119,0.102,0.074,0.086,0.087,0.067,0.1811,0.2152,0.2389,0.1824,0.2532,0.3813,0.9732,0.6304,0.002,0.009,0.009,0.027,0.025,0.023
0.65,0.6,0.5122,0.5357,0.4286,0.5277,0.4643,0.3333,-0.0044,-0.0234,0.101,0.093,0.069,0.095,0.105,0.08,0.2398,0.2152,0.2389,0.2235,0.2939,0.3813,0.9102,0.5496,0.01,0.017,0.015,0.015,0.007,0.007
0.65,0.7,0.5309,0.5357,0.4286,0.5558,0.4643,0.3333,0.0103,0.0006,0.096,0.092,0.068,0.087,0.106,0.082,0.2202,0.2152,0.2389,0.1951,0.2939,0.3813,0.7918,0.9883,0.014,0.018,0.017,0.027,0.007,0.007
0.7,0.0,0.7996,0.7857,0.619,0.5806,0.3929,0.2381,-0.0007,0.0311,0.07,0.068,0.05,0.023,0.037,0.029,0.0309,0.0362,0.069,0.1717,0.3833,0.5619,0.9861,0.4262,0.071,0.081,0.077,0.55,0.34,0.34
0.7,0.1,0.7778,0.8571,0.7143,0.7025,0.6071,0.5238,0.0171,0.0121,0.102,0.11,0.08,0.069,0.079,0.062,0.0395,0.0137,0.0302,0.0784,0.1482,0.1361,0.6622,0.7566,0.009,0.005,0.004,0.079,0.043,0.041
0.7,0.2,0.7723,0.7143,0.619,0.6461,0.5357,0.4286,0.0144,0.0022,0.105,0.113,0.083,0.057,0.067,0.052,0.0419,0.0713,0.069,0.1169,0.2152,0.2389,0.7121,0.9553,0.007,0.004,0.003,0.141,0.087,0.086
0.7,0.3,0.762,0.8571,0.7143,0.5838,0.6429,0.5238,0.0129,0.0055,0.121,0.123,0.089,0.075,0.086,0.066,0.0465,0.0137,0.0302,0.1688,0.1194,0.1361,0.7425,0.889,0.002,0.002,0.002,0.056,0.029,0.027
0.7,0.4,0.6441,0.7207,0.5855,0.6572,0.7143,0.619,0.0086,0.0115,0.122,0.115,0.084,0.096,0.1,0.077,0.1184,0.0676,0.0683,0.1087,0.0713,0.069,0.825,0.7695,0.002,0.003,0.003,0.014,0.01,0.009
0.7,0.5,0.5972,0.5357,0.4286,0.5691,0.5,0.3333,0.0072,-0.0097,0.119,0.105,0.077,0.085,0.088,0.068,0.1568,0.2152,0.2389,0.1824,0.2532,0.3813,0.8548,0.8043,0.002,0.007,0.007,0.03,0.024,0.022
0.7,0.6,0.5122,0.5357,0.4286,0.5277,0.4643,0.3333,-0.0044,-0.0234,0.101,0.093,0.069,0.095,0.105,0.08,0.2398,0.2152,0.2389,0.2235,0.2939,0.3813,0.9102,0.5496,0.01,0.017,0.015,0.015,0.007,0.007
